Package,LibPath,Version,Priority,License,License_is_FOSS,NeedsCompilation,Built
BDgraph,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,2.53,NA,GPL (>= 2),NA,yes,3.5.1
bdsmatrix,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.3-3,NA,LGPL-2,NA,yes,3.5.0
beeswarm,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.2.3,NA,Artistic-2.0,NA,no,3.5.0
benchmarkme,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.6.0,NA,GPL-2 | GPL-3,NA,no,3.5.0
benchmarkmeData,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.5.1,NA,GPL-2 | GPL-3,NA,no,3.5.0
BetaBit,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.3,NA,GPL-2,NA,no,3.5.0
BH,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.66.0-1,NA,BSL-1.0,NA,no,3.5.0
bibtex,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.4.2,NA,GPL (>= 2),NA,yes,3.5.0
bigalgebra,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.8.4.1,NA,LGPL-3 | Apache License 2.0,NA,yes,3.5.2
biganalytics,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.1.14,NA,LGPL-3 | Apache License 2.0,NA,yes,3.5.0
biglasso,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.3-6,NA,GPL-3,NA,yes,3.5.0
biglm,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.9-1,NA,GPL,NA,yes,3.5.0
bigmemory,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,4.5.33,NA,LGPL-3 | Apache License 2.0,NA,yes,3.5.0
bigmemory.sri,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.1.3,NA,LGPL-3 | Apache License 2.0,NA,no,3.5.0
bigpca,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.1,NA,GPL (>= 2),NA,no,3.4.4
bigQueryR,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.4.0,NA,MIT + file LICENSE,NA,no,3.5.0
bigtabulate,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.1.5,NA,LGPL-3 | Apache License 2.0,NA,yes,3.5.0
bindr,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.1.1,NA,MIT + file LICENSE,NA,no,3.5.0
bindrcpp,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.2.2,NA,MIT + file LICENSE,NA,yes,3.5.0
binman,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.1.1,NA,MIT + file LICENSE,NA,no,3.5.0
binomTools,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.0-1,NA,GPL (>= 3),NA,NA,3.4.1
Biobase,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,2.28.0,NA,Artistic-2.0,NA,yes,3.2.0
BiocGenerics,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.14.0,NA,Artistic-2.0,NA,no,3.2.0
BiocInstaller,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.18.5,NA,Artistic-2.0,NA,no,3.4.1
bit,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.1-14,NA,GPL-2,NA,yes,3.5.0
bit64,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.9-7,NA,GPL-2,NA,yes,3.5.0
bitops,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.0-6,NA,GPL (>= 2),NA,yes,3.5.0
blme,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.0-4,NA,GPL (>= 2),NA,no,3.5.0
blob,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.1.1,NA,GPL-3,NA,no,3.5.0
blogdown,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.9,NA,GPL-3,NA,no,3.5.0
blscrapeR,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,3.1.3,NA,MIT + file LICENSE,NA,no,3.5.0
bmp,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.3,NA,GPL (>= 2),NA,no,3.5.0
bookdown,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.9,NA,GPL-3,NA,no,3.5.2
Boom,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,0.8,NA,LGPL-2.1 | file LICENSE,NA,yes,3.5.0
BoomSpikeSlab,C:/Users/Karl Hailperin/Documents/R/win-library/3.5,1.0.0,NA,LGPL-2.1 | file LICENSE,NA,yes,3.5.0
