Built,n,prop
3.5.2,56,0.059447983014861996
3.5.1,191,0.20276008492569003
3.5.0,656,0.6963906581740976
3.4.4,1,0.0010615711252653928
3.4.3,4,0.004246284501061571
3.4.1,5,0.005307855626326964
3.4.0,3,0.0031847133757961785
3.3.2,2,0.0021231422505307855
3.3.0,4,0.004246284501061571
3.2.4,6,0.006369426751592357
3.2.2,1,0.0010615711252653928
3.2.1,7,0.0074309978768577496
3.2.0,6,0.006369426751592357
